description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Wyoming : biomass,thousand megawatthours,ELEC.GEN.BIO-WY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wyoming : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-WY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wyoming : other biomass,thousand megawatthours,ELEC.GEN.WAS-WY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wyoming : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-WY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wyoming : other,thousand megawatthours,ELEC.GEN.OTH-WY-99.A,108,77,--,107,65,49,69,67,60,68,62,67,69,74,78,65,46,85,75,79,84,76,84,90,85
Wyoming : all solar,thousand megawatthours,ELEC.GEN.TSN-WY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,2,3,3,5,7,189,178,197,209,202,456,537
Wyoming : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-WY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,2,3,3,5,6,9,13,18,23,29,33,41
Wyoming : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-WY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,180,165,179,186,174,423,496
Wyoming : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-WY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,180,165,179,186,174,423,496
Wyoming : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-WY-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pacific Contiguous,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Contiguous : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-PCC-99.A,326697,334074,341849,348327,351584,378343,372916,377531,365937,362725,375763,377287,374146,375262,363858,371232,384772,376336,370506,372823,368990,381392,381281,--,--
Pacific Contiguous : coal,thousand megawatthours,ELEC.GEN.COW-PCC-99.A,15760,14768,17721,16203,16096,10979,15207,15086,12725,14754,10544,7772,11323,10717,7727,6819,7509,7141,9980,7091,3427,3818,4371,--,--
Pacific Contiguous : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-PCC-99.A,1358,211,507,321,402,322,329,212,198,90,92,167,79,81,112,119,79,97,77,65,109,200,99,--,--
Pacific Contiguous : petroleum coke,thousand megawatthours,ELEC.GEN.PC-PCC-99.A,2120,1830,1996,2091,2287,2096,2056,1580,1406,1006,864,156,21,19,0,84,0,0,0,0,0,0,0,--,--
Pacific Contiguous : natural gas,thousand megawatthours,ELEC.GEN.NG-PCC-99.A,132289,102156,108758,122216,115123,124425,137846,147188,141568,133533,102321,136731,145310,144184,145423,123363,114266,118263,122502,125081,135313,129959,137183,--,--
Pacific Contiguous : other gases,thousand megawatthours,ELEC.GEN.OOG-PCC-99.A,1130,1553,2062,2341,2601,2371,2152,1957,1868,1987,1964,1890,1816,1670,1944,1828,1764,1885,1798,1830,1607,1667,1620,--,--
Pacific Contiguous : nuclear,thousand megawatthours,ELEC.GEN.NUC-PCC-99.A,41470,43401,43208,39249,44397,41287,43901,41752,38398,41442,41470,27841,26373,26483,26666,28533,26029,27922,25032,25686,24989,27445,26153,--,--
Pacific Contiguous : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-PCC-99.A,108920,143720,141378,138797,142655,167905,139744,135570,133854,132262,176690,155712,135007,131256,118467,141837,162840,142657,134695,129708,113717,127865,120156,--,--
Pacific Contiguous : other renewables,thousand megawatthours,ELEC.GEN.AOR-PCC-99.A,23690,26180,26756,27397,27368,28247,30804,33145,34857,36824,40727,45388,53034,59938,62413,68145,70944,77570,75577,82578,89468,90294,92484,--,--
Pacific Contiguous : wind,thousand megawatthours,ELEC.GEN.WND-PCC-99.A,3588,4595,4943,5661,5495,6852,9270,11618,12882,14743,18790,22697,27282,27816,25936,28708,25975,29371,26981,31626,33851,30848,30522,--,--
Pacific Contiguous : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-PCC-99.A,542,554,534,571,537,495,557,670,647,769,890,1390,3835,9957,14839,18848,24547,27559,29052,31396,36375,40481,43266,--,--
Pacific Contiguous : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-PCC-99.A,--,--,2,2,2,2,3,6,34,116,243,749,3226,8361,12547,16428,22184,25100,26814,29176,34345,38398,41365,--,--
Pacific Contiguous : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-PCC-99.A,--,--,532,569,535,493,554,665,613,654,647,640,609,1595,2293,2421,2364,2458,2237,2220,2030,2083,1901,--,--
Pacific Contiguous : geothermal,thousand megawatthours,ELEC.GEN.GEO-PCC-99.A,12181,13074,12982,13105,13023,12821,12991,12883,12853,12600,12552,12545,12471,12285,12062,11641,11734,11853,11100,11559,11310,11360,11442,--,--
Pacific Contiguous : biomass,thousand megawatthours,ELEC.GEN.BIO-PCC-99.A,7379,7957,8298,8060,8314,8080,7987,7974,8475,8711,8495,8757,9446,9881,9575,8947,8688,8787,8445,7998,7932,7605,7253,--,--
Pacific Contiguous : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-PCC-99.A,5090,5708,5777,5626,5802,5502,5366,5314,5712,5859,5519,5773,6025,6307,6024,5379,5157,5374,5286,4941,4923,4791,4523,--,--
Pacific Contiguous : other biomass,thousand megawatthours,ELEC.GEN.WAS-PCC-99.A,2289,2249,2521,2434,2512,2577,2620,2661,2763,2852,2976,2984,3421,3574,3551,3568,3530,3413,3158,3057,3009,2814,2730,--,--
Pacific Contiguous : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-PCC-99.A,-350,-246,-916,-827,128,143,354,370,205,-118,-37,618,203,-109,153,-262,410,-120,-22,-23,-315,-145,-396,--,--
Pacific Contiguous : other,thousand megawatthours,ELEC.GEN.OTH-PCC-99.A,308,500,378,537,525,567,522,671,858,948,1128,1012,980,1022,953,766,931,922,867,807,677,290,-390,--,--
Pacific Contiguous : all solar,thousand megawatthours,ELEC.GEN.TSN-PCC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,14746,21001,27319,35447,40831,44644,49311,56837,65399,72277,--,--
Pacific Contiguous : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-PCC-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,4790,6161,8471,10900,13273,15593,17915,20462,24918,29011,--,--
Pacific Contiguous : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-PCC-99.A,542,554,534,571,537,495,557,670,647,769,890,1390,3835,9957,14839,18848,24547,27559,29052,31396,36375,40481,43266,--,--
Pacific Contiguous : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-PCC-99.A,--,--,2,2,2,2,3,6,34,116,243,749,3226,8361,12547,16428,22184,25100,26814,29176,34345,38398,41365,--,--
Pacific Contiguous : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-PCC-99.A,--,--,532,569,535,493,554,665,613,654,647,640,609,1595,2293,2421,2364,2458,2237,2220,2030,2083,1901,--,--
California,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
California : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-CA-99.A,198596,184210,192789,194780,200293,216799,210848,207984,204776,204126,200805,199519,200077,198808,196704,196963,206147,195466,201784,193084,197165,203384,216629,214191,205884
California : coal,thousand megawatthours,ELEC.GEN.COW-CA-99.A,2233,2328,2326,2238,2135,2235,2298,2280,2050,2100,1982,1375,823,805,298,319,291,281,240,290,294,252,209,246,234
California : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-CA-99.A,935,131,396,172,257,272,278,162,137,54,47,134,48,47,85,92,46,69,51,44,77,155,75,57,55
California : petroleum coke,thousand megawatthours,ELEC.GEN.PC-CA-99.A,2120,1830,1996,2091,2287,2096,2056,1580,1406,1006,864,156,21,19,0,84,0,0,0,0,0,0,0,0,0
California : natural gas,thousand megawatthours,ELEC.GEN.NG-CA-99.A,111932,89624,91432,100222,93354,105691,115700,119992,113463,107522,88974,119668,119523,120426,116140,97074,88350,89805,85841,92047,97427,96372,94390,86656,73326
California : other gases,thousand megawatthours,ELEC.GEN.OOG-CA-99.A,1130,1240,1759,2066,2280,2022,1818,1685,1623,1695,1667,1484,1406,1333,1549,1427,1408,1454,1476,1538,1369,1412,1382,1209,1114
California : nuclear,thousand megawatthours,ELEC.GEN.NUC-CA-99.A,33220,34352,35594,30268,36155,31959,35792,32482,31764,32201,36663,18507,17912,16986,18505,18908,17901,18214,16165,16259,16477,17593,17718,18379,17558
California : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-CA-99.A,25542,31141,36371,34141,39632,48047,27328,24128,27888,33431,42557,26837,23755,16531,13808,28942,42363,26331,38355,21377,14678,17644,32381,29454,27855
California : other renewables,thousand megawatthours,ELEC.GEN.AOR-CA-99.A,21630,23407,23545,23971,23654,23915,24845,24784,25540,25450,27222,29967,35578,41917,45395,49712,54544,58632,58921,60871,66585,69916,71348,79350,87015
California : wind,thousand megawatthours,ELEC.GEN.WND-CA-99.A,3500,3803,3895,4306,4262,4883,5585,5385,5840,6079,7752,9754,12822,12992,12230,13509,12823,14024,13735,13583,15177,14638,14019,15648,16257
California : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-CA-99.A,542,554,534,571,537,495,557,670,647,769,889,1382,3814,9932,14814,18807,24353,26985,28332,30273,34864,38789,41001,48428,55574
California : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-CA-99.A,--,--,2,2,2,2,3,6,34,116,242,743,3205,8336,12522,16386,21989,24527,26094,28053,32834,36706,39100,46382,53713
California : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-CA-99.A,--,--,532,569,535,493,554,665,613,654,647,640,609,1595,2293,2421,2364,2458,2237,2220,2030,2083,1901,2045,1861
California : geothermal,thousand megawatthours,ELEC.GEN.GEO-CA-99.A,12181,13074,12982,13105,13023,12821,12991,12883,12853,12600,12552,12519,12307,12102,11883,11457,11560,11677,10914,11367,11128,11181,11266,10524,10747
California : biomass,thousand megawatthours,ELEC.GEN.BIO-CA-99.A,5406,5976,6134,5989,5833,5717,5713,5846,6200,6002,6029,6311,6635,6891,6468,5939,5808,5946,5941,5649,5416,5307,5062,4750,4438
California : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-CA-99.A,3324,3958,3880,3827,3609,3422,3407,3484,3732,3551,3445,3798,3792,3977,3584,3029,2967,3123,3218,3034,2842,2891,2721,2476,2236
California : other biomass,thousand megawatthours,ELEC.GEN.WAS-CA-99.A,2083,2019,2254,2162,2224,2294,2305,2362,2468,2451,2585,2514,2843,2913,2884,2910,2841,2824,2723,2615,2574,2417,2341,2274,2201
California : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-CA-99.A,-350,-241,-912,-817,120,96,310,321,153,-171,-89,575,196,-105,113,-259,407,-149,-31,-37,-317,-155,-393,-46,261
California : other,thousand megawatthours,ELEC.GEN.OTH-CA-99.A,204,398,281,429,420,464,421,570,753,839,917,815,816,848,812,666,836,829,765,695,576,196,-482,-1113,-1533
California : all solar,thousand megawatthours,ELEC.GEN.TSN-CA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,14606,20829,27037,34958,39904,43493,47680,54712,62910,68978,80152,90103
California : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-CA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,4674,6014,8230,10605,12919,15162,17407,19849,24121,27977,31724,34529
California : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-CA-99.A,542,554,534,571,537,495,557,670,647,769,889,1382,3814,9932,14814,18807,24353,26985,28332,30273,34864,38789,41001,48428,55574
California : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-CA-99.A,--,--,2,2,2,2,3,6,34,116,242,743,3205,8336,12522,16386,21989,24527,26094,28053,32834,36706,39100,46382,53713
California : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-CA-99.A,--,--,532,569,535,493,554,665,613,654,647,640,609,1595,2293,2421,2364,2458,2237,2220,2030,2083,1901,2045,1861
Oregon,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-OR-99.A,45052,47099,48966,51381,49325,53341,55078,58718,56691,55127,59695,60933,59896,60120,57867,60182,62714,64114,62258,63625,61017,61318,61692,64661,64637
Oregon : coal,thousand megawatthours,ELEC.GEN.COW-OR-99.A,4445,3780,4305,3556,3466,2371,4352,4044,3197,4126,3334,2634,3759,3193,2377,1898,1728,1476,2569,1630,--,--,--,--,--
Oregon : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-OR-99.A,102,7,44,63,78,12,14,15,8,3,8,6,6,10,6,5,10,5,7,2,0,2,0,13,NM
Oregon : petroleum coke,thousand megawatthours,ELEC.GEN.PC-OR-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Oregon : natural gas,thousand megawatthours,ELEC.GEN.NG-OR-99.A,10983,7813,10244,13525,13191,11239,14858,17387,16133,15651,8498,11625,14363,12699,16237,15307,15066,17923,20932,19020,21297,19055,23385,24926,22183
Oregon : other gases,thousand megawatthours,ELEC.GEN.OOG-OR-99.A,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Oregon : nuclear,thousand megawatthours,ELEC.GEN.NUC-OR-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Oregon : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-OR-99.A,28645,34413,33250,33081,30948,37850,33587,33805,33034,30542,42315,39410,33098,35262,31254,34549,38294,35443,30322,31921,27660,31304,26329,26933,29152
Oregon : other renewables,thousand megawatthours,ELEC.GEN.AOR-OR-99.A,840,1049,1083,1115,1601,1829,2228,3423,4272,4757,5490,7207,8635,8914,7950,8382,7576,9233,8392,11008,12025,10921,11955,12776,13356
Oregon : wind,thousand megawatthours,ELEC.GEN.WND-OR-99.A,89,376,444,619,734,931,1247,2575,3470,3920,4775,6343,7456,7555,6632,7157,6227,7447,6569,8777,9376,8149,8954,9519,9466
Oregon : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-OR-99.A,--,--,--,--,--,--,--,--,--,--,0,6,20,24,24,41,194,572,676,1078,1461,1608,1901,2001,2684
Oregon : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-OR-99.A,--,--,--,--,--,--,--,--,--,--,0,6,20,24,24,41,194,572,676,1078,1461,1608,1901,2001,2684
Oregon : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-OR-99.A,--,--,--,--,--,--,--,--,--,--,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
Oregon : geothermal,thousand megawatthours,ELEC.GEN.GEO-OR-99.A,--,--,--,--,--,--,--,--,--,--,--,26,165,183,179,184,174,176,185,192,183,179,176,169,182
Oregon : biomass,thousand megawatthours,ELEC.GEN.BIO-OR-99.A,751,673,639,496,866,898,981,848,803,837,714,832,994,1151,1116,1001,981,1037,962,961,1005,985,924,1087,1023
Oregon : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-OR-99.A,701,624,554,410,768,799,843,717,674,632,492,600,700,803,747,641,619,680,637,631,686,685,641,818,833
Oregon : other biomass,thousand megawatthours,ELEC.GEN.WAS-OR-99.A,50,49,85,86,98,99,139,131,128,205,222,232,294,348,369,359,361,357,324,329,319,300,283,269,191
Oregon : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-OR-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Oregon : other,thousand megawatthours,ELEC.GEN.OTH-OR-99.A,38,38,41,42,40,40,38,44,47,47,51,50,35,43,42,41,39,34,36,44,35,35,23,13,-69
Oregon : all solar,thousand megawatthours,ELEC.GEN.TSN-OR-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,104,116,192,373,776,903,1335,1766,2013,2416,2620,3417
Oregon : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-OR-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,80,92,151,179,205,227,257,305,404,515,618,733
Oregon : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-OR-99.A,--,--,--,--,--,--,--,--,--,--,0,6,20,24,24,41,194,572,676,1078,1461,1608,1901,2001,2684
Oregon : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-OR-99.A,--,--,--,--,--,--,--,--,--,--,0,6,20,24,24,41,194,572,676,1078,1461,1608,1901,2001,2684
Oregon : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-OR-99.A,--,--,--,--,--,--,--,--,--,--,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
Washington,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Washington : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-WA-99.A,83049,102765,100095,102165,101966,108203,106990,110828,104470,103473,115263,116835,114173,116334,109287,114087,115912,116757,106464,116114,110808,116691,102961,102398,103067
Washington : coal,thousand megawatthours,ELEC.GEN.COW-WA-99.A,9082,8661,11090,10409,10494,6373,8557,8762,7478,8527,5229,3763,6740,6720,5052,4602,5490,5383,7170,5170,3133,3566,4163,2847,3160
Washington : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-WA-99.A,320,73,67,86,67,38,37,35,54,32,37,27,24,24,22,22,23,24,20,19,32,44,24,43,34
Washington : petroleum coke,thousand megawatthours,ELEC.GEN.PC-WA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0
Washington : natural gas,thousand megawatthours,ELEC.GEN.NG-WA-99.A,9374,4719,7083,8469,8579,7495,7287,9809,11971,10359,4850,5438,11424,11059,13046,10982,10849,10535,15729,14014,16589,14532,19408,18097,16294
Washington : other gases,thousand megawatthours,ELEC.GEN.OOG-WA-99.A,--,313,303,275,322,349,334,272,245,292,297,405,410,337,395,402,356,431,322,292,238,255,238,223,260
Washington : nuclear,thousand megawatthours,ELEC.GEN.NUC-WA-99.A,8250,9048,7615,8982,8242,9328,8109,9270,6634,9241,4806,9334,8461,9497,8161,9626,8128,9708,8866,9427,8511,9852,8435,9967,7748
Washington : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-WA-99.A,54734,78167,71757,71576,72075,82008,78829,77637,72933,68288,91818,89464,78155,79463,73405,78346,82183,80883,66018,76410,71379,78916,61446,60736,65169
Washington : other renewables,thousand megawatthours,ELEC.GEN.AOR-WA-99.A,1221,1724,2128,2311,2114,2503,3731,4938,5045,6617,8014,8214,8822,9108,9067,10050,8824,9705,8263,10700,10859,9457,9181,10410,10331
Washington : wind,thousand megawatthours,ELEC.GEN.WND-WA-99.A,--,417,604,737,498,1038,2438,3657,3572,4745,6262,6600,7004,7268,7075,8042,6925,7900,6677,9266,9298,8061,7550,8863,8570
Washington : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-WA-99.A,--,--,--,--,--,--,--,0,0,0,1,1,1,1,1,1,0,2,44,46,50,83,364,437,629
Washington : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-WA-99.A,--,--,--,--,--,--,--,0,0,0,1,1,1,1,1,1,0,2,44,46,50,83,364,437,629
Washington : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-WA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Washington : geothermal,thousand megawatthours,ELEC.GEN.GEO-WA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Washington : biomass,thousand megawatthours,ELEC.GEN.BIO-WA-99.A,1221,1308,1525,1575,1615,1465,1293,1281,1472,1872,1751,1614,1817,1840,1991,2008,1899,1803,1542,1388,1511,1313,1267,1110,1133
Washington : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-WA-99.A,1065,1126,1343,1389,1425,1281,1116,1113,1305,1676,1582,1375,1533,1527,1692,1708,1571,1571,1431,1276,1395,1215,1161,999,1022
Washington : other biomass,thousand megawatthours,ELEC.GEN.WAS-WA-99.A,156,181,182,185,190,184,176,168,167,196,169,239,284,313,299,299,328,232,111,113,115,98,106,111,111
Washington : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-WA-99.A,--,-5,-3,-10,8,47,45,49,52,53,52,44,7,-5,40,-2,3,28,9,14,2,10,-3,2,-3
Washington : other,thousand megawatthours,ELEC.GEN.OTH-WA-99.A,66,64,56,67,65,62,62,56,59,62,160,147,129,131,100,60,56,59,66,69,66,58,69,72,74
Washington : all solar,thousand megawatthours,ELEC.GEN.TSN-WA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,37,56,90,116,151,248,296,359,477,883,1071,1350
Washington : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-WA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,36,55,89,116,150,205,250,308,393,518,634,722
Washington : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-WA-99.A,--,--,--,--,--,--,--,0,0,0,1,1,1,1,1,1,0,2,44,46,50,83,364,437,629
Washington : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-WA-99.A,--,--,--,--,--,--,--,0,0,0,1,1,1,1,1,1,0,2,44,46,50,83,364,437,629
Washington : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-WA-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pacific Noncontiguous,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Noncontiguous : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-PCN-99.A,17377,18430,17315,17937,18099,18233,18355,18151,17713,17596,17594,17416,16764,16247,16404,16284,16310,16044,15821,15355,15778,16032,15912,--,--
Pacific Noncontiguous : coal,thousand megawatthours,ELEC.GEN.COW-PCN-99.A,2169,2121,2194,2253,2255,2166,2220,2265,2131,2166,2080,2222,2028,2069,2005,2092,1931,1940,1985,1887,1837,1375,731,--,--
Pacific Noncontiguous : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-PCN-99.A,9161,10429,9349,9692,9827,9822,9924,9648,9446,9024,8869,8521,8041,7372,7770,7472,7514,7558,7765,7135,7058,7503,8045,--,--
Pacific Noncontiguous : petroleum coke,thousand megawatthours,ELEC.GEN.PC-PCN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pacific Noncontiguous : natural gas,thousand megawatthours,ELEC.GEN.NG-PCN-99.A,3896,3778,3354,3623,3724,4058,3868,4002,3577,3750,3906,3606,3421,3288,3090,3040,3235,2948,2687,2641,3085,3229,3182,--,--
Pacific Noncontiguous : other gases,thousand megawatthours,ELEC.GEN.OOG-PCN-99.A,38,41,40,48,41,43,45,39,22,22,38,50,41,62,50,51,52,56,6,3,0,0,0,--,--
Pacific Noncontiguous : nuclear,thousand megawatthours,ELEC.GEN.NUC-PCN-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Pacific Noncontiguous : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-PCN-99.A,1446,1534,1673,1592,1560,1344,1384,1256,1436,1504,1438,1690,1514,1633,1690,1750,1710,1761,1718,1863,1804,1824,1867,--,--
Pacific Noncontiguous : other renewables,thousand megawatthours,ELEC.GEN.AOR-PCN-99.A,497,383,533,559,544,625,765,782,718,766,897,965,1324,1420,1433,1560,1508,1403,1269,1510,1802,1846,1918,--,--
Pacific Noncontiguous : wind,thousand megawatthours,ELEC.GEN.WND-PCN-99.A,3,2,2,7,7,80,239,240,258,274,353,416,649,731,772,808,674,757,672,721,790,765,746,--,--
Pacific Noncontiguous : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-PCN-99.A,--,--,--,--,--,--,--,0,1,2,4,5,19,39,54,89,175,185,268,484,507,555,653,--,--
Pacific Noncontiguous : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-PCN-99.A,--,--,--,--,--,--,--,0,1,2,4,5,19,39,54,89,175,185,268,484,507,555,653,--,--
