description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Maine : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-ME-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5,12,7,28,158,432,523,945,1547
Maine : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-ME-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5,12,7,28,158,432,523,945,1547
Maine : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-ME-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Maine : geothermal,thousand megawatthours,ELEC.GEN.GEO-ME-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Maine : biomass,thousand megawatthours,ELEC.GEN.BIO-ME-99.A,3826,4044,3586,3598,4068,3968,4108,3926,3640,3653,3788,3778,3846,3394,3153,2788,2704,2662,2248,2094,1969,1815,1458,1644,1740
Maine : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-ME-99.A,3530,3724,3288,3187,3778,3685,3848,3669,3367,3390,3511,3502,3625,3189,2970,2603,2529,2509,2127,1980,1866,1733,1388,1571,1671
Maine : other biomass,thousand megawatthours,ELEC.GEN.WAS-ME-99.A,296,320,298,411,290,283,260,258,273,264,277,276,220,205,183,185,175,152,121,114,103,82,70,72,70
Maine : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-ME-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Maine : other,thousand megawatthours,ELEC.GEN.OTH-ME-99.A,411,386,478,567,345,356,315,315,339,323,390,454,401,405,340,381,396,371,339,330,267,280,276,280,268
Maine : all solar,thousand megawatthours,ELEC.GEN.TSN-ME-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,13,19,29,46,68,84,117,293,768,1152,1960,2892
Maine : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-ME-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,13,19,29,41,55,77,89,136,336,629,1015,1344
Maine : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-ME-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5,12,7,28,158,432,523,945,1547
Maine : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-ME-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5,12,7,28,158,432,523,945,1547
Maine : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-ME-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Massachusetts,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-MA-99.A,38478,42028,48385,47500,47515,45598,47076,42505,38967,42805,38055,35578,32885,31119,32086,31955,32204,27173,21516,18214,19477,21026,19696,20915,23050
